"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"DR. SANTANA" "SALITRE" 112 9478 "SUPLENTE" "DEPUTADO ESTADUAL" 1.18 "TOTAL:79,79%"
"CAPITÃO WÁGNER" "PEREIRO" 119 10022 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.19 "TOTAL:79,68%"
"RONALDO MARTINS" "UMARI" 57 4799 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.19 "TOTAL:76,45%"
"CAPITÃO WÁGNER" "URUOCA" 104 8564 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.21 "TOTAL:73,25%"
"MOISES BRAZ" "FRECHEIRINHA" 106 8703 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.22 "TOTAL:77,2%"
"LUIZIANNE LINS" "GUARAMIRANGA" 54 4395 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.23 "TOTAL:65,78%"
"CAPITÃO WÁGNER" "JATI" 65 5191 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.25 "TOTAL:73,17%"
"LEONIDAS CRISTINO" "JATI" 65 5191 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.25 "TOTAL:71,47%"
"CAPITÃO WÁGNER" "GRANJA" 381 30300 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.26 "TOTAL:72,64%"
"ODORICO" "GRANJA" 383 30300 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.26 "TOTAL:71,27%"
"RONALDO MARTINS" "MOMBAÇA" 306 24001 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.27 "TOTAL:70,48%"
"ARNON BEZERRA" "AIUABA" 102 7991 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.28 "TOTAL:77,86%"
"DR. JAZIEL" "FORQUILHA" 181 14000 "SUPLENTE" "DEPUTADO FEDERAL" 1.29 "TOTAL:72,62%"
"MOISES BRAZ" "IPAPORANGA" 84 6503 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.29 "TOTAL:77,23%"
"JOSÉ GUIMARÃES" "UMIRIM" 154 11767 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.31 "TOTAL:66,9%"
"MACEDO" "CARIRÉ" 156 11873 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.31 "TOTAL:76,97%"
"MÁRIO FEITOZA" "BARROQUINHA" 116 8832 "SUPLENTE" "DEPUTADO FEDERAL" 1.31 "TOTAL:71,34%"
"CAPITÃO WÁGNER" "PIQUET CARNEIRO" 115 8648 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.33 "TOTAL:71,91%"
"EUDES XAVIER" "ANTONINA DO NORTE" 58 4360 "SUPLENTE" "DEPUTADO FEDERAL" 1.33 "TOTAL:74,73%"
"ODORICO" "VARJOTA" 142 10575 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.34 "TOTAL:73,93%"
"ANIBAL" "RERIUTABA" 154 11336 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.36 "TOTAL:73,17%"
"JOSÉ AIRTON" "SANTANA DO CARIRI" 135 9861 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.37 "TOTAL:70,01%"
"LEONIDAS CRISTINO" "MUCAMBO" 117 8534 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.37 "TOTAL:79,94%"
"IVO GOMES" "CROATÁ" 126 9073 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.39 "TOTAL:74,79%"
"PROFESSOR TEODORO" "OCARA" 260 18378 "SUPLENTE" "DEPUTADO ESTADUAL" 1.41 "TOTAL:70,41%"
"ANDRÉ FIGUEIREDO" "SÃO JOÃO DO JAGUARIBE" 81 5723 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.42 "TOTAL:67,64%"
"CABO SABINO" "BREJO SANTO" 377 26523 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.42 "TOTAL:66,74%"
"EUDES XAVIER" "CRUZ" 206 14479 "SUPLENTE" "DEPUTADO FEDERAL" 1.42 "TOTAL:74,76%"
"ODILON AGUIAR" "ARARIPE" 174 12201 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.43 "TOTAL:76,7%"
"ARNON BEZERRA" "FARIAS BRITO" 190 12915 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.47 "TOTAL:67,71%"
"CAPITÃO WÁGNER" "BREJO SANTO" 393 26523 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.48 "TOTAL:78,61%"
"ADAIL CARNEIRO" "ASSARÉ" 197 13178 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.49 "TOTAL:61,93%"
"DADINHA ROBERTO" "UMARI" 72 4799 "SUPLENTE" "DEPUTADO FEDERAL" 1.5 "TOTAL:76,45%"
"MORONI" "GUARAMIRANGA" 66 4395 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.5 "TOTAL:65,78%"
"GENECIAS NORONHA" "GRANJEIRO" 55 3592 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.53 "TOTAL:67,12%"
"CABO SABINO" "ABAIARA" 80 5201 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.54 "TOTAL:61,07%"
"ODORICO" "AIUABA" 123 7991 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.54 "TOTAL:77,86%"
"RONALDO MARTINS" "SÃO JOÃO DO JAGUARIBE" 88 5723 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.54 "TOTAL:67,64%"
"BRUNO PEDROSA" "MONSENHOR TABOSA" 158 10151 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.56 "TOTAL:74,79%"
"DOMINGOS NETO" "GRANJEIRO" 56 3592 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.56 "TOTAL:67,12%"
"DR. LUCÍLVIO GIRÃO" "MORRINHOS" 199 12760 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.56 "TOTAL:76,8%"
"MOSES RODRIGUES" "ARARIPE" 190 12201 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.56 "TOTAL:79,02%"
"DR. JAZIEL" "MOMBAÇA" 381 24001 "SUPLENTE" "DEPUTADO FEDERAL" 1.59 "TOTAL:70,48%"
"EVANDRO LEITÃO" "ACARAÚ" 512 31694 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.62 "TOTAL:72,12%"
"MOISES BRAZ" "DEPUTADO IRAPUAN PINHEIRO" 89 5487 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.62 "TOTAL:80,5%"
"ODORICO" "CRUZ" 234 14479 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.62 "TOTAL:74,76%"
"RAIMUNDO MATOS" "PIQUET CARNEIRO" 140 8648 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.62 "TOTAL:67,73%"
"ARTUR BRUNO" "ACARAÚ" 517 31694 "SUPLENTE" "DEPUTADO ESTADUAL" 1.63 "TOTAL:72,12%"
"LUIZIANNE LINS" "RERIUTABA" 185 11336 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.63 "TOTAL:73,17%"
"NIZO COSTA" "IGUATU" 893 54376 "SUPLENTE" "DEPUTADO ESTADUAL" 1.64 "TOTAL:71,77%"
"ROBERTO MESQUITA" "GENERAL SAMPAIO" 88 5371 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.64 "TOTAL:78,54%"
"ADERLANIA NORONHA" "IPAPORANGA" 107 6503 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.65 "TOTAL:77,23%"
"NORMANDO" "GRANJEIRO" 60 3592 "SUPLENTE" "DEPUTADO FEDERAL" 1.67 "TOTAL:67,12%"
"EDUARDO PESSOA" "BARROQUINHA" 150 8832 "SUPLENTE" "DEPUTADO ESTADUAL" 1.7 "TOTAL:73,66%"
"NIZO COSTA" "ANTONINA DO NORTE" 74 4360 "SUPLENTE" "DEPUTADO ESTADUAL" 1.7 "TOTAL:68,41%"
"ODORICO" "ERERÊ" 65 3819 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.7 "TOTAL:71,72%"
"IRAGUASSU TEIXEIRA" "MARANGUAPE" 1053 61181 "SUPLENTE" "DEPUTADO ESTADUAL" 1.72 "TOTAL:68,88%"
"PROFESSOR TEODORO" "CARIRÉ" 207 11873 "SUPLENTE" "DEPUTADO ESTADUAL" 1.74 "TOTAL:73,72%"
"ANDRÉ FIGUEIREDO" "UMARI" 84 4799 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.75 "TOTAL:76,45%"
"VASQUES LANDIM" "MILAGRES" 296 16788 "SUPLENTE" "DEPUTADO ESTADUAL" 1.76 "TOTAL:77,42%"
"FERREIRA ARAGÃO" "UMIRIM" 209 11767 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.78 "TOTAL:60,81%"
"JOSÉ GUIMARÃES" "ALCÂNTARAS" 119 6668 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.78 "TOTAL:75,56%"
"GORETE PEREIRA" "JUCÁS" 249 13906 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.79 "TOTAL:69,34%"
"AUDIC MOTA" "OCARA" 331 18378 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.8 "TOTAL:70,41%"
"MÁRIO FEITOZA" "BARRO" 219 12146 "SUPLENTE" "DEPUTADO FEDERAL" 1.8 "TOTAL:65,81%"
"MORONI" "UMIRIM" 212 11767 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.8 "TOTAL:66,9%"
"GORETE PEREIRA" "POTENGI" 101 5539 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.82 "TOTAL:72,02%"
"CAPITÃO WÁGNER" "CARIRÉ" 217 11873 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.83 "TOTAL:73,72%"
"DEPUTADO ROQUE" "PENAFORTE" 105 5738 "SUPLENTE" "DEPUTADO ESTADUAL" 1.83 "TOTAL:73%"
"ZÉ VYTAL" "CHAVAL" 137 7489 "SUPLENTE" "DEPUTADO ESTADUAL" 1.83 "TOTAL:65,28%"
"CAPITÃO WÁGNER" "GUARAMIRANGA" 81 4395 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.84 "TOTAL:60,81%"
"JONH MONTEIRO" "ITAREMA" 411 22273 "SUPLENTE" "DEPUTADO ESTADUAL" 1.85 "TOTAL:76,83%"
"DAVI DUARTE" "ALTO SANTO" 178 9571 "SUPLENTE" "DEPUTADO ESTADUAL" 1.86 "TOTAL:73,91%"
"DEDÉ TEIXEIRA" "ACOPIARA" 550 29588 "SUPLENTE" "DEPUTADO ESTADUAL" 1.86 "TOTAL:68,78%"
"RAIMUNDO MATOS" "OCARA" 345 18378 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.88 "TOTAL:64,7%"
"EUGENIO RABELO" "MARCO" 326 16996 "SUPLENTE" "DEPUTADO FEDERAL" 1.92 "TOTAL:76,87%"
"DARCY LIRA" "AIUABA" 154 7991 "SUPLENTE" "DEPUTADO ESTADUAL" 1.93 "TOTAL:61,84%"
"CHICO LOPES" "ALTANEIRA" 87 4487 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.94 "TOTAL:74,86%"
"DR. JAZIEL" "CATARINA" 124 6390 "SUPLENTE" "DEPUTADO FEDERAL" 1.94 "TOTAL:74,82%"
"CAPITÃO WÁGNER" "MARCO" 332 16996 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.95 "TOTAL:76,68%"
"DR. JAZIEL" "ACARAÚ" 619 31694 "SUPLENTE" "DEPUTADO FEDERAL" 1.95 "TOTAL:70,59%"
"ZÉ MARIA" "IRACEMA" 165 8440 "SUPLENTE" "DEPUTADO ESTADUAL" 1.95 "TOTAL:63,77%"
"MACEDO" "IBICUITINGA" 193 9844 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.96 "TOTAL:70,26%"
"DOMINGOS NETO" "PARAMBU" 380 19306 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.97 "TOTAL:83,86%"
"ALMIRCY PINTO" "MARTINÓPOLE" 145 7312 "SUPLENTE" "DEPUTADO FEDERAL" 1.98 "TOTAL:81,65%"
"DR. JAZIEL" "QUIXERÉ" 273 13755 "SUPLENTE" "DEPUTADO FEDERAL" 1.98 "TOTAL:68,52%"
"FERNANDA PESSOA" "ITATIRA" 248 12530 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.98 "TOTAL:78,49%"
"JOSÉ AIRTON" "CROATÁ" 180 9073 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.98 "TOTAL:72,83%"
"MORONI" "OCARA" 364 18378 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.98 "TOTAL:64,7%"
"DR. LEONARDO PINHEIRO" "MARACANAÚ" 2556 128753 "SUPLENTE" "DEPUTADO ESTADUAL" 1.99 "TOTAL:40,11%"
"PROFESSOR TEODORO" "IRAUÇUBA" 275 13844 "SUPLENTE" "DEPUTADO ESTADUAL" 1.99 "TOTAL:65,33%"
"JOSÉ GUIMARÃES" "ANTONINA DO NORTE" 87 4360 "ELEITO POR QP" "DEPUTADO FEDERAL" 2 "TOTAL:74,73%"
"CAPITÃO WÁGNER" "POTENGI" 112 5539 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.02 "TOTAL:66,66%"
"AGRIPINO MAGALHÃES" "GENERAL SAMPAIO" 109 5371 "SUPLENTE" "DEPUTADO ESTADUAL" 2.03 "TOTAL:78,54%"
"PROFESSOR TEODORO" "SÃO BENEDITO" 536 25956 "SUPLENTE" "DEPUTADO ESTADUAL" 2.07 "TOTAL:68,84%"
"CAPITÃO WÁGNER" "ACARAPE" 191 9190 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.08 "TOTAL:71,58%"
"MOISES BRAZ" "MARCO" 356 16996 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.09 "TOTAL:76,68%"
"ODORICO" "QUIXERÉ" 287 13755 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.09 "TOTAL:68,52%"
"CAPITÃO WÁGNER" "QUIXERÉ" 289 13755 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.1 "TOTAL:66,6%"
"CAPITÃO WÁGNER" "ICÓ" 780 37104 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.1 "TOTAL:74,1%"
"PROFESSOR TEODORO" "FRECHEIRINHA" 183 8703 "SUPLENTE" "DEPUTADO ESTADUAL" 2.1 "TOTAL:77,2%"
"ARIOSTO HOLANDA" "ALTO SANTO" 202 9571 "SUPLENTE" "DEPUTADO FEDERAL" 2.11 "TOTAL:70,43%"
"MACEDO" "ARARIPE" 258 12201 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.11 "TOTAL:79,02%"
"PROFESSOR PINHEIRO" "JAGUARIBARA" 133 6305 "SUPLENTE" "DEPUTADO ESTADUAL" 2.11 "TOTAL:68,94%"
"IVO GOMES" "JATI" 110 5191 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.12 "TOTAL:73,17%"
"MOISES BRAZ" "IPUEIRAS" 451 21317 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.12 "TOTAL:64,24%"
"BALMAN" "PORTEIRAS" 212 9958 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.13 "TOTAL:73,37%"
"FERNANDA PESSOA" "MARANGUAPE" 1305 61181 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.13 "TOTAL:68,88%"
"SERGIO AGUIAR" "ICÓ" 792 37104 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.13 "TOTAL:74,1%"
"JOAQUIM NORONHA" "CHAVAL" 160 7489 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.14 "TOTAL:65,28%"
"AGENOR RIBEIRO" "AIUABA" 172 7991 "SUPLENTE" "DEPUTADO ESTADUAL" 2.15 "TOTAL:61,84%"
"DR. SARTO" "FORTALEZA" 29772 1382950 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.15 "TOTAL:21,46%"
"PROFESSOR TEODORO" "FORQUILHA" 302 14000 "SUPLENTE" "DEPUTADO ESTADUAL" 2.16 "TOTAL:69,91%"
"LEONARDO ARAÚJO" "HORIZONTE" 869 39988 "SUPLENTE" "DEPUTADO ESTADUAL" 2.17 "TOTAL:25,22%"
"BALMAN" "SABOEIRO" 207 9491 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.18 "TOTAL:70,91%"
"DRA. SILVANA" "PENAFORTE" 125 5738 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.18 "TOTAL:73%"
"ANDRÉ FIGUEIREDO" "ICAPUÍ" 280 12788 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.19 "TOTAL:67,53%"
"TEO MENEZES" "HORIZONTE" 877 39988 "SUPLENTE" "DEPUTADO ESTADUAL" 2.19 "TOTAL:25,22%"
"CABO SABINO" "QUIXERAMOBIM" 933 42468 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.2 "TOTAL:66,82%"
"RAIMUNDO MATOS" "QUIXERAMOBIM" 935 42468 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.2 "TOTAL:66,82%"
"RAIMUNDO MATOS" "IRAUÇUBA" 306 13844 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.21 "TOTAL:73,2%"
"MAURO BENEVIDES" "CAMPOS SALES" 324 14570 "SUPLENTE" "DEPUTADO FEDERAL" 2.22 "TOTAL:68,44%"
"JOSÉ GUIMARÃES" "ALTANEIRA" 100 4487 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.23 "TOTAL:74,86%"
"JOSÉ GUIMARÃES" "SABOEIRO" 212 9491 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.23 "TOTAL:70,91%"
"MOISES BRAZ" "PENAFORTE" 128 5738 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.23 "TOTAL:73%"
"NENEM DO CAZUZA" "IPAPORANGA" 145 6503 "SUPLENTE" "DEPUTADO FEDERAL" 2.23 "TOTAL:74,75%"
"AUDIC MOTA" "UMARI" 108 4799 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 2.25 "TOTAL:77,94%"
"MÁRIO FEITOZA" "ICÓ" 837 37104 "SUPLENTE" "DEPUTADO FEDERAL" 2.26 "TOTAL:61,87%"
"CARLOS WINDSON" "ARNEIROZ" 113 4952 "SUPLENTE" "DEPUTADO ESTADUAL" 2.28 "TOTAL:78,13%"
"CHICO LOPES" "ICAPUÍ" 293 12788 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 2.29 "TOTAL:67,53%"
"MÔNICA" "SÃO BENEDITO" 595 25956 "SUPLENTE" "DEPUTADO ESTADUAL" 2.29 "TOTAL:68,84%"
"VICENTE ARRUDA" "SENADOR SÁ" 105 4571 "SUPLENTE" "DEPUTADO FEDERAL" 2.3 "TOTAL:78,32%"
"CAPITÃO WÁGNER" "IRAUÇUBA" 323 13844 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.33 "TOTAL:65,33%"
"ELY AGUIAR" "IBICUITINGA" 230 9844 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.34 "TOTAL:56,39%"
"DANILO FORTE" "MOMBAÇA" 564 24001 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.35 "TOTAL:70,48%"
