"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"GIL LANCASTER" "CARAPICUÍBA" 2114 226694 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.93 "TOTAL:44,5%"
"TIRIRICA" "ITARARÉ" 257 27514 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.93 "TOTAL:75,53%"
"BETO TRICOLI" "PEDRA BELA" 36 3841 "SUPLENTE" "DEPUTADO ESTADUAL" 0.94 "TOTAL:77,9%"
"PASTOR CEZINHA" "GÁLIA" 39 4159 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.94 "TOTAL:67,66%"
"DELEGADO RADAELI" "PATROCÍNIO PAULISTA" 81 8377 "SUPLENTE" "DEPUTADO ESTADUAL" 0.97 "TOTAL:74,22%"
"VAL FREITAS" "ESPÍRITO SANTO DO PINHAL" 259 26144 "SUPLENTE" "DEPUTADO ESTADUAL" 0.99 "TOTAL:63,93%"
"SEBASTIÃO SANTOS" "INDAIATUBA" 1235 123570 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1 "TOTAL:72,95%"
"MARCELINHO CARIOCA" "VARGEM" 56 5453 "SUPLENTE" "DEPUTADO ESTADUAL" 1.03 "TOTAL:43,95%"
"MILTON VIEIRA" "GUARAREMA" 192 18588 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.03 "TOTAL:77,49%"
"PASTOR CEZINHA" "TRABIJU" 13 1259 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.03 "TOTAL:76,4%"
"ARMANDO DA FARMÁCIA" "SALESÓPOLIS" 121 11680 "SUPLENTE" "DEPUTADO ESTADUAL" 1.04 "TOTAL:62,12%"
"CIDINHA" "PEDERNEIRAS" 269 25377 "SUPLENTE" "DEPUTADO ESTADUAL" 1.06 "TOTAL:76%"
"GILMACI SANTOS" "BRAGANÇA PAULISTA" 1025 95525 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.07 "TOTAL:68,73%"
"ITAMAR BORGES" "VOTUPORANGA" 583 54611 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.07 "TOTAL:71,64%"
"MARCELINHO CARIOCA" "GÁLIA" 45 4159 "SUPLENTE" "DEPUTADO ESTADUAL" 1.08 "TOTAL:67,66%"
"ANDRÉ DO PRADO" "PEDREIRA" 290 26277 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.1 "TOTAL:56,18%"
"LUIZ CARLOS MOTTA" "NOVAIS" 30 2700 "SUPLENTE" "DEPUTADO FEDERAL" 1.11 "TOTAL:74,39%"
"PASTOR MARCO FELICIANO" "NOVAIS" 30 2700 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.11 "TOTAL:74,39%"
"CAMPOS MACHADO" "PEDRA BELA" 43 3841 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.12 "TOTAL:77,9%"
"PASTOR CELSO NASCIMENTO" "CATANDUVA" 787 68485 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.15 "TOTAL:59,59%"
"SEBASTIÃO SANTOS" "VOTUPORANGA" 629 54611 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.15 "TOTAL:71,64%"
"ALDO DEMARCHI" "SANTA CRUZ DO RIO PARDO" 318 26648 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.19 "TOTAL:64,65%"
"PASTOR MARCO FELICIANO" "GUARAREMA" 221 18588 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.19 "TOTAL:77,88%"
"CARLOS BEZERRA JR" "BRAGANÇA PAULISTA" 1156 95525 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.21 "TOTAL:68,73%"
"GILMACI SANTOS" "HORTOLÂNDIA" 1366 113147 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.21 "TOTAL:53,67%"
"SEBASTIÃO SANTOS" "BOTUCATU" 919 75857 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.21 "TOTAL:65,24%"
"SEBASTIÃO SANTOS" "PRESIDENTE PRUDENTE" 1552 127988 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.21 "TOTAL:65,59%"
"ITAMAR BORGES" "LINS" 520 42673 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.22 "TOTAL:67,12%"
"ANALICE FERNANDES" "SANTA FÉ DO SUL" 233 18666 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.25 "TOTAL:78,45%"
"MARA DA NOVA RECORD" "TABOÃO DA SERRA" 2012 161583 "SUPLENTE" "DEPUTADO ESTADUAL" 1.25 "TOTAL:42,35%"
"WELSON GASPARINI" "RIFAINA" 37 2959 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.25 "TOTAL:72,59%"
"SERGINHO MATOS" "JUNQUEIRÓPOLIS" 138 10967 "SUPLENTE" "DEPUTADO ESTADUAL" 1.26 "TOTAL:60,03%"
"ANDRÉ SOARES" "CAJOBI" 80 6275 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.27 "TOTAL:64,23%"
"FELICIANO" "ITAPIRA" 566 44648 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.27 "TOTAL:64,74%"
"LIOZINA" "MARÍLIA" 1666 131383 "SUPLENTE" "DEPUTADO ESTADUAL" 1.27 "TOTAL:47,45%"
"REINALDO ALGUZ" "BRAÚNA" 43 3398 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.27 "TOTAL:69,36%"
"ITAMAR BORGES" "NAZARÉ PAULISTA" 132 10319 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.28 "TOTAL:60,18%"
"JOSÉ MENTOR" "SANTA ADÉLIA" 117 9057 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.29 "TOTAL:67,63%"
"MARTA COSTA" "TEODORO SAMPAIO" 161 12464 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.29 "TOTAL:61,47%"
"CARLOS BEZERRA JR" "SERRA NEGRA" 218 16749 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.3 "TOTAL:64,02%"
"DUARTE NOGUEIRA" "CATANDUVA" 891 68485 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.3 "TOTAL:50,48%"
"PAULO TEIXEIRA" "ITARARÉ" 361 27514 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.31 "TOTAL:75,53%"
"ROBERTO FELICIO" "SÃO PEDRO" 251 19059 "SUPLENTE" "DEPUTADO ESTADUAL" 1.32 "TOTAL:50,48%"
"LUIZ TURCO" "ÁLVARES MACHADO" 187 14063 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.33 "TOTAL:68,15%"
"KAZU" "EMBU DAS ARTES" 1840 136811 "SUPLENTE" "DEPUTADO ESTADUAL" 1.34 "TOTAL:48,2%"
"SEBASTIÃO SANTOS" "ARARAQUARA" 1722 128190 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.34 "TOTAL:55,36%"
"CAMPOS MACHADO" "PINHALZINHO" 109 8077 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.35 "TOTAL:67,38%"
"SEBASTIÃO SANTOS" "MARÍLIA" 1779 131383 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.35 "TOTAL:47,45%"
"CELSO RUSSOMANNO" "SANTA ADÉLIA" 124 9057 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.37 "TOTAL:67,63%"
"DRA. ANNE" "SANTA ISABEL" 445 32242 "SUPLENTE" "DEPUTADO ESTADUAL" 1.38 "TOTAL:56,31%"
"PR CARLOS CEZAR" "HORTOLÂNDIA" 1566 113147 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.38 "TOTAL:53,67%"
"GILMACI SANTOS" "CARAPICUÍBA" 3159 226694 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.39 "TOTAL:44,5%"
"CELINO" "SANTA MARIA DA SERRA" 48 3424 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.4 "TOTAL:61,65%"
"RODRIGO MORAES" "ITAPETININGA" 1176 83842 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.4 "TOTAL:62,8%"
"ZICO PRADO" "RIOLÂNDIA" 76 5413 "SUPLENTE" "DEPUTADO ESTADUAL" 1.4 "TOTAL:65,87%"
"JOSÉ BITTENCOURT" "SANTO ANDRÉ" 6427 454664 "SUPLENTE" "DEPUTADO ESTADUAL" 1.41 "TOTAL:25,24%"
"LUIZ FERNANDO" "SÃO JOÃO DA BOA VISTA" 767 54266 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.41 "TOTAL:57,15%"
"TIRIRICA" "GUARAREMA" 262 18588 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.41 "TOTAL:77,88%"
"PASTOR CELSO NASCIMENTO" "RIFAINA" 42 2959 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.42 "TOTAL:72,59%"
"REINALDO ALGUZ" "PRESIDENTE PRUDENTE" 1820 127988 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.42 "TOTAL:65,59%"
"JOAO CARAMEZ" "TRABIJU" 18 1259 "SUPLENTE" "DEPUTADO ESTADUAL" 1.43 "TOTAL:76,4%"
"JOCELINO AGRICULTOR" "RIBEIRÃO DOS ÍNDIOS" 23 1614 "SUPLENTE" "DEPUTADO ESTADUAL" 1.43 "TOTAL:69,58%"
"ANTONIO MENTOR" "PINHALZINHO" 117 8077 "SUPLENTE" "DEPUTADO ESTADUAL" 1.45 "TOTAL:67,38%"
"CELSO RUSSOMANNO" "REGISTRO" 485 33204 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.46 "TOTAL:64,4%"
"DAVI ZAIA" "BURITAMA" 137 9388 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.46 "TOTAL:59,25%"
"MILTON LEITE FILHO" "TEODORO SAMPAIO" 182 12464 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.46 "TOTAL:61,47%"
"PASTOR MARCO FELICIANO" "AGUDOS" 337 22941 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.47 "TOTAL:66,04%"
"RENATO GALENDI" "BOTUCATU" 1112 75857 "NÃO ELEITO" "DEPUTADO ESTADUAL" 1.47 "TOTAL:65,24%"
"CAMPOS MACHADO" "CARAGUATATUBA" 883 59794 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.48 "TOTAL:39,16%"
"DR HUMBERTO" "ATIBAIA" 1198 80868 "SUPLENTE" "DEPUTADO ESTADUAL" 1.48 "TOTAL:49,66%"
"PADRE AFONSO" "GUARATINGUETÁ" 1063 71930 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.48 "TOTAL:53,54%"
"CARLOS SILVA" "MONÇÕES" 24 1616 "SUPLENTE" "DEPUTADO FEDERAL" 1.49 "TOTAL:58,19%"
"ALEXANDRE PEREIRA" "TEODORO SAMPAIO" 187 12464 "SUPLENTE" "DEPUTADO ESTADUAL" 1.5 "TOTAL:61,47%"
"CAUÊ MACRIS" "SERRA NEGRA" 252 16749 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.5 "TOTAL:64,02%"
"RICARDO IZAR" "TRABIJU" 19 1259 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.51 "TOTAL:71,49%"
"CARLOS GIANNAZI" "SÃO PAULO" 108848 7104325 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.53 "TOTAL:10,38%"
"DANIEL GRANDOLFO" "PRESIDENTE BERNARDES" 128 8308 "SUPLENTE" "DEPUTADO ESTADUAL" 1.54 "TOTAL:62,18%"
"MARCOS ZERBINI" "SÃO PEDRO" 294 19059 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.54 "TOTAL:50,48%"
"PR CARLOS CEZAR" "TATUÍ" 986 64213 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.54 "TOTAL:56,88%"
"SEBASTIÃO SANTOS" "ITU" 1461 95108 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.54 "TOTAL:44,6%"
"EDUARDO PETROV" "JALES" 458 29616 "SUPLENTE" "DEPUTADO ESTADUAL" 1.55 "TOTAL:61,36%"
"FELICIANO" "MOGI GUAÇU" 1377 88959 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.55 "TOTAL:47,39%"
"PADRE AFONSO" "SANTA ISABEL" 500 32242 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.55 "TOTAL:56,31%"
"SEBASTIÃO SANTOS" "GARÇA" 408 26337 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.55 "TOTAL:46,62%"
"CAMPOS MACHADO" "SANTANA DE PARNAÍBA" 971 62255 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.56 "TOTAL:19,14%"
"GILMACI SANTOS" "BARUERI" 3059 195600 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.56 "TOTAL:39,77%"
"MILTON VIEIRA" "CARAGUATATUBA" 933 59794 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.56 "TOTAL:39,16%"
"REGINA GONÇALVES" "TURIÚBA" 21 1347 "SUPLENTE" "DEPUTADO ESTADUAL" 1.56 "TOTAL:65,77%"
"TRIPOLI" "ESPÍRITO SANTO DO PINHAL" 409 26144 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.56 "TOTAL:63,93%"
"PAULO TEIXEIRA" "REGISTRO" 522 33204 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.57 "TOTAL:64,4%"
"REINALDO ALGUZ" "ESTRELA DO NORTE" 32 2044 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.57 "TOTAL:79,25%"
"ANTONIO MENTOR" "VARGEM GRANDE DO SUL" 384 24254 "SUPLENTE" "DEPUTADO ESTADUAL" 1.58 "TOTAL:57,04%"
"DANIEL GRANDOLFO" "PRESIDENTE EPITÁCIO" 374 23626 "SUPLENTE" "DEPUTADO ESTADUAL" 1.58 "TOTAL:53,03%"
"EDMIR CHEDID" "ALAMBARI" 52 3292 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.58 "TOTAL:69,41%"
"DAVISON ROSSATO" "NOVA ODESSA" 558 35131 "SUPLENTE" "DEPUTADO ESTADUAL" 1.59 "TOTAL:50,68%"
"CIDO SARAIVA" "BILAC" 76 4750 "SUPLENTE" "DEPUTADO ESTADUAL" 1.6 "TOTAL:66,42%"
"PROFESSOR BACCHIM" "NOVA ODESSA" 561 35131 "SUPLENTE" "DEPUTADO ESTADUAL" 1.6 "TOTAL:50,68%"
"RICARDO IZAR" "AGUDOS" 368 22941 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.6 "TOTAL:66,04%"
"DAVI ZAIA" "CARDOSO" 119 7395 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.61 "TOTAL:53,84%"
"ESTEVAM GALVÃO" "CAMPOS DO JORDÃO" 465 28902 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.61 "TOTAL:26,48%"
"PR CARLOS CEZAR" "PIRACICABA" 3636 225895 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.61 "TOTAL:55,88%"
"CELSO RUSSOMANNO" "PINDORAMA" 148 9159 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.62 "TOTAL:57,61%"
"GILMACI SANTOS" "EMBU DAS ARTES" 2219 136811 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.62 "TOTAL:48,2%"
"CAMPOS MACHADO" "REGENTE FEIJÓ" 199 12224 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.63 "TOTAL:64%"
"ENIO TATTO" "FRANCO DA ROCHA" 1260 77516 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.63 "TOTAL:28,75%"
"JEFFERSON CAMPOS" "AGUDOS" 373 22941 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.63 "TOTAL:66,04%"
"PAULINHO DA FORÇA" "SÃO CARLOS" 2313 142086 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.63 "TOTAL:56,32%"
"TIRIRICA" "SANTA ADÉLIA" 148 9057 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.63 "TOTAL:67,63%"
"ANGELO PERUGINI" "ITAJU" 38 2315 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.64 "TOTAL:61,72%"
"BARBA" "SANTO ANDRÉ" 7451 454664 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.64 "TOTAL:25,24%"
"PASTOR CELSO NASCIMENTO" "LINS" 701 42673 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.64 "TOTAL:67,12%"
"PEDRO TOBIAS" "SANTANA DE PARNAÍBA" 1019 62255 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.64 "TOTAL:19,14%"
"CAUÊ MACRIS" "HORTOLÂNDIA" 1867 113147 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.65 "TOTAL:53,67%"
"JEFFERSON CAMPOS" "ITARARÉ" 453 27514 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.65 "TOTAL:75,53%"
"PR CARLOS CEZAR" "CAPIVARI" 474 28642 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.65 "TOTAL:51,79%"
"NELSON MARQUEZELLI" "SERTÃOZINHO" 1136 68575 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.66 "TOTAL:51,31%"
"PEDRO DE SOUZA" "LEME" 962 58080 "SUPLENTE" "DEPUTADO ESTADUAL" 1.66 "TOTAL:63,35%"
"AURO DE JESUS" "TATUÍ" 1073 64213 "SUPLENTE" "DEPUTADO ESTADUAL" 1.67 "TOTAL:56,88%"
"CELSO RUSSOMANNO" "URU" 19 1137 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.67 "TOTAL:64,64%"
"GALENO" "URU" 19 1137 "SUPLENTE" "DEPUTADO FEDERAL" 1.67 "TOTAL:64,64%"
"PASTOR CELSO NASCIMENTO" "LEME" 972 58080 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.67 "TOTAL:63,35%"
"PAULO MALUF" "TRABIJU" 21 1259 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.67 "TOTAL:71,49%"
"CHICO LOCO" "SÃO CARLOS" 2392 142086 "SUPLENTE" "DEPUTADO FEDERAL" 1.68 "TOTAL:56,32%"
"ANTONIO CARLOS JUNIOR" "GUARATINGUETÁ" 1217 71930 "SUPLENTE" "DEPUTADO ESTADUAL" 1.69 "TOTAL:53,54%"
"CARLOS BEZERRA JR" "BIRITIBA MIRIM" 307 18049 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.7 "TOTAL:67,25%"
"EVANDRO LOSACCO" "ÁLVARO DE CARVALHO" 40 2355 "SUPLENTE" "DEPUTADO ESTADUAL" 1.7 "TOTAL:59,87%"
"PASTOR CEZINHA" "GUARAREMA" 316 18588 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.7 "TOTAL:77,49%"
"PAULO FREIRE" "VALINHOS" 1165 68359 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.7 "TOTAL:37,31%"
"RITA PASSOS" "CAPÃO BONITO" 472 27832 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.7 "TOTAL:61,32%"
"TIRIRICA" "REGISTRO" 563 33204 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.7 "TOTAL:64,4%"
"ZICO PRADO" "JOÃO RAMALHO" 49 2888 "SUPLENTE" "DEPUTADO ESTADUAL" 1.7 "TOTAL:69,56%"
"FERNANDO CAPEZ" "MACATUBA" 181 10614 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.71 "TOTAL:61,61%"
"FERNANDO CAPEZ" "BOTUCATU" 1297 75857 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.71 "TOTAL:65,24%"
"RICARDO MADALENA" "SÃO MANUEL" 418 24386 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.71 "TOTAL:56,59%"
"AIRTON GARCIA" "ITIRAPINA" 132 7672 "SUPLENTE" "DEPUTADO ESTADUAL" 1.72 "TOTAL:31,32%"
"CAUÊ MACRIS" "NAZARÉ PAULISTA" 178 10319 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.72 "TOTAL:60,18%"
"PASTOR CELSO NASCIMENTO" "CAMPOS DO JORDÃO" 496 28902 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.72 "TOTAL:26,48%"
"TIRIRICA" "VOTUPORANGA" 937 54611 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.72 "TOTAL:64,47%"
"CELIA LEAO" "MONTE ALEGRE DO SUL" 83 4786 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.73 "TOTAL:59,21%"
"GANDINI" "GUAÍRA" 380 21925 "SUPLENTE" "DEPUTADO ESTADUAL" 1.73 "TOTAL:61,86%"
"ANTONIO MENTOR" "LEME" 1012 58080 "SUPLENTE" "DEPUTADO ESTADUAL" 1.74 "TOTAL:63,35%"
"CARUSO" "ITAPEVA" 921 52911 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.74 "TOTAL:57,82%"
"CELSO RUSSOMANNO" "SANTA FÉ DO SUL" 324 18666 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.74 "TOTAL:63,37%"
"LUIZ LAURO FILHO" "VALINHOS" 1190 68359 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.74 "TOTAL:37,31%"
"ANDRÉ DO PRADO" "SERTÃOZINHO" 1201 68575 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.75 "TOTAL:52,39%"
"RAMALHO DA CONSTRUCAO" "MAIRIPORÃ" 799 45552 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.75 "TOTAL:28,27%"
"VAZ DE LIMA" "BARRETOS" 1146 65556 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.75 "TOTAL:58,21%"
"ARMANDO DA FARMÁCIA" "BIRITIBA MIRIM" 318 18049 "SUPLENTE" "DEPUTADO ESTADUAL" 1.76 "TOTAL:67,25%"
"JEFFERSON CAMPOS" "DOURADO" 102 5788 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.76 "TOTAL:57,73%"
"PASTOR MARCO FELICIANO" "RIBEIRÃO PRETO" 5942 336700 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.76 "TOTAL:46,56%"
"PR CARLOS CEZAR" "ITAPEVA" 931 52911 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.76 "TOTAL:57,82%"
"CAMPOS MACHADO" "ITIRAPINA" 136 7672 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.77 "TOTAL:31,32%"
"CORONEL TELHADA" "SOCORRO" 395 22264 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.77 "TOTAL:58,22%"
"DILADOR BORGES" "BIRIGUI" 1171 66307 "SUPLENTE" "DEPUTADO ESTADUAL" 1.77 "TOTAL:64,23%"
"GILMACI SANTOS" "ITAPEVI" 2076 117094 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.77 "TOTAL:49,54%"
"JUNIOR DE VITTO" "ITAJU" 41 2315 "SUPLENTE" "DEPUTADO ESTADUAL" 1.77 "TOTAL:61,72%"
"RICARDO MADALENA" "ASSIS" 942 53302 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.77 "TOTAL:53,99%"
"CARLOS VICENTE ' CARLÃO '" "PEDREGULHO" 180 10128 "SUPLENTE" "DEPUTADO ESTADUAL" 1.78 "TOTAL:55,41%"
"CELSO RUSSOMANNO" "GUARAREMA" 330 18588 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.78 "TOTAL:77,88%"
"DELEGADO OLIM" "SÃO PAULO" 126453 7104325 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.78 "TOTAL:10,38%"
"ADEMIR DA GUIA" "BARRA BONITA" 430 24003 "NÃO ELEITO" "DEPUTADO ESTADUAL" 1.79 "TOTAL:37,34%"
"FELICIANO" "RIO CLARO" 2062 115288 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.79 "TOTAL:47,28%"
"MARCOS NEVES" "MAIRIPORÃ" 817 45552 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.79 "TOTAL:28,27%"
"MISSIONÁRIA EDINALVA AZEVEDO" "VOTUPORANGA" 977 54611 "SUPLENTE" "DEPUTADO FEDERAL" 1.79 "TOTAL:64,47%"
"PASTOR MARCO FELICIANO" "REGISTRO" 593 33204 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.79 "TOTAL:64,4%"
"GILMACI SANTOS" "TABOÃO DA SERRA" 2905 161583 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.8 "TOTAL:42,35%"
"ESTEVAM GALVÃO" "FERRAZ DE VASCONCELOS" 1783 98649 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.81 "TOTAL:26,11%"
